total_length_1,endpoints_1,branchpoints_1,approx_branches_1,avg_branch_length_1,total_length_2,endpoints_2,branchpoints_2,approx_branches_2,avg_branch_length_2,total_length_3,endpoints_3,branchpoints_3,approx_branches_3,avg_branch_length_3
1106,11,17,5,221.2,1211,10,20,5,242.2,882,6,14,3,294.0
860,9,11,4,215.0,896,10,15,5,179.2,608,3,4,1,608.0
1291,13,22,6,215.16666666666666,1396,14,21,7,199.42857142857142,1003,6,16,3,334.3333333333333
1384,12,29,6,230.66666666666666,7259,18,143,9,806.5555555555555,2689,2,9,1,2689.0
9092,43,261,21,432.95238095238096,9092,47,253,23,395.30434782608694,4803,4,43,2,2401.5
8780,48,264,24,365.8333333333333,8922,47,277,23,387.9130434782609,4960,13,49,6,826.6666666666666
1676,14,41,7,239.42857142857142,2117,17,51,8,264.625,1091,7,11,3,363.6666666666667
1264,9,25,4,316.0,1737,16,39,8,217.125,1211,5,17,2,605.5
952,7,20,3,317.3333333333333,981,7,16,3,327.0,636,3,1,1,636.0
1158,7,13,3,386.0,1302,8,29,4,325.5,642,3,3,1,642.0
1248,10,18,5,249.6,1298,8,24,4,324.5,896,4,7,2,448.0
1248,11,27,5,249.6,8988,23,197,11,817.0909090909091,865,4,4,2,432.5
978,8,23,4,244.5,9617,47,299,23,418.1304347826087,4942,7,43,3,1647.3333333333333
956,9,17,4,239.0,1072,13,22,6,178.66666666666666,899,8,20,4,224.75
836,7,17,3,278.6666666666667,930,8,29,4,232.5,795,5,11,2,397.5
792,5,8,2,396.0,934,8,16,4,233.5,754,6,14,3,251.33333333333334
1083,7,24,3,361.0,1206,10,34,5,241.2,958,6,13,3,319.3333333333333
1183,10,26,5,236.6,7767,20,160,10,776.7,3481,2,14,1,3481.0
995,9,21,4,248.75,1136,10,19,5,227.2,887,4,5,2,443.5
1191,12,34,6,198.5,8405,56,237,28,300.17857142857144,1108,7,19,3,369.3333333333333
968,9,28,4,242.0,8511,38,227,19,447.94736842105266,977,7,9,3,325.6666666666667
1017,13,26,6,169.5,9956,29,282,14,711.1428571428571,1356,10,23,5,271.2
999,14,29,7,142.71428571428572,9517,36,260,18,528.7222222222222,3496,8,36,4,874.0
1096,8,25,4,274.0,1986,22,57,11,180.54545454545453,1184,11,18,5,236.8
1039,7,17,3,346.3333333333333,1211,11,15,5,242.2,1038,9,16,4,259.5
1126,8,26,4,281.5,1323,12,27,6,220.5,965,8,13,4,241.25
1280,5,41,2,640.0,3492,14,65,7,498.85714285714283,772,7,8,3,257.3333333333333
1212,8,23,4,303.0,3856,27,75,13,296.61538461538464,2328,9,21,4,582.0
1505,14,21,7,215.0,11190,51,323,25,447.6,4119,2,25,1,4119.0
10738,44,325,22,488.09090909090907,11001,58,377,29,379.3448275862069,3697,1,19,1,3697.0
1273,8,20,4,318.25,1662,9,35,4,415.5,1078,7,19,3,359.3333333333333
1064,4,4,2,532.0,4460,32,88,16,278.75,2174,7,14,3,724.6666666666666
1425,11,19,5,285.0,3948,16,78,8,493.5,1349,5,12,2,674.5
908,11,16,5,181.6,4552,23,116,11,413.8181818181818,2471,12,22,6,411.8333333333333
815,8,11,4,203.75,4590,31,116,15,306.0,3408,17,47,8,426.0
982,3,11,1,982.0,1169,8,21,4,292.25,879,5,4,2,439.5
758,8,14,4,189.5,7202,44,195,22,327.3636363636364,3992,8,31,4,998.0
996,4,19,2,498.0,1440,12,23,6,240.0,1084,7,10,3,361.3333333333333
974,7,25,3,324.6666666666667,1276,10,30,5,255.2,897,7,17,3,299.0
1005,6,16,3,335.0,1470,16,26,8,183.75,881,6,12,3,293.6666666666667
899,4,22,2,449.5,1674,16,30,8,209.25,839,5,8,2,419.5
1243,7,28,3,414.3333333333333,1652,17,37,8,206.5,1129,8,18,4,282.25
995,8,18,4,248.75,9546,39,287,19,502.42105263157896,3869,6,31,3,1289.6666666666667
1260,8,25,4,315.0,1404,12,36,6,234.0,951,8,19,4,237.75
905,5,9,2,452.5,900,5,7,2,450.0,799,4,7,2,399.5
776,3,10,1,776.0,774,3,10,1,774.0,616,3,3,1,616.0
951,6,16,3,317.0,972,7,14,3,324.0,874,3,4,1,874.0
876,4,7,2,438.0,917,6,8,3,305.6666666666667,851,4,8,2,425.5
1007,9,21,4,251.75,1126,10,26,5,225.2,1075,5,15,2,537.5
992,8,19,4,248.0,1069,8,19,4,267.25,988,7,14,3,329.3333333333333
692,5,11,2,346.0,705,5,8,2,352.5,636,6,13,3,212.0
890,4,7,2,445.0,921,5,11,2,460.5,886,4,7,2,443.0
796,4,6,2,398.0,5343,12,81,6,890.5,835,5,12,2,417.5
9297,30,273,15,619.8,9673,35,302,17,569.0,4812,11,44,5,962.4
1387,9,26,4,346.75,8810,51,239,25,352.4,3522,9,40,4,880.5
1769,16,47,8,221.125,9844,60,331,30,328.1333333333333,4279,14,41,7,611.2857142857143
1071,10,30,5,214.2,1233,11,39,5,246.6,929,6,16,3,309.6666666666667
806,6,15,3,268.6666666666667,1052,14,35,7,150.28571428571428,829,8,13,4,207.25
749,8,20,4,187.25,776,8,19,4,194.0,656,5,10,2,328.0
1095,5,24,2,547.5,1194,7,33,3,398.0,657,4,7,2,328.5
1239,11,28,5,247.8,1478,13,31,6,246.33333333333334,1058,7,17,3,352.6666666666667
1055,8,24,4,263.75,1290,10,31,5,258.0,1009,7,18,3,336.3333333333333
1279,9,36,4,319.75,1421,16,37,8,177.625,731,4,6,2,365.5
1051,9,20,4,262.75,1368,11,28,5,273.6,1127,7,15,3,375.6666666666667
1628,14,38,7,232.57142857142858,9325,63,308,31,300.80645161290323,4265,11,37,5,853.0
2214,16,60,8,276.75,8694,57,254,28,310.5,4805,14,50,7,686.4285714285714
